    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.04s
     Running `target\debug\atpg_rust.exe 499`
pattern generation (6 patterns):
parallel pattern single fault propagation (PPSFP):
PPSFP: starting pattern 1/6
PPSFP pattern 1/6 - fault 34/684 (N751, s-a-1) - processed 5.0% - detected 30/684 (4.4%)
PPSFP pattern 1/6 - fault 68/684 (N93, s-a-1) - processed 9.9% - detected 61/684 (8.9%)
PPSFP pattern 1/6 - fault 102/684 (N711, s-a-1) - processed 14.9% - detected 91/684 (13.3%)
PPSFP pattern 1/6 - fault 136/684 (N635, s-a-1) - processed 19.9% - detected 122/684 (17.8%)
PPSFP pattern 1/6 - fault 170/684 (N734, s-a-1) - processed 24.9% - detected 152/684 (22.2%)
PPSFP pattern 1/6 - fault 204/684 (N25, s-a-1) - processed 29.8% - detected 183/684 (26.8%)
PPSFP pattern 1/6 - fault 238/684 (N694, s-a-1) - processed 34.8% - detected 212/684 (31.0%)
PPSFP pattern 1/6 - fault 272/684 (N645, s-a-1) - processed 39.8% - detected 241/684 (35.2%)
PPSFP pattern 1/6 - fault 306/684 (N620, s-a-0) - processed 44.7% - detected 265/684 (38.7%)
PPSFP pattern 1/6 - fault 340/684 (N564, s-a-1) - processed 49.7% - detected 287/684 (42.0%)
PPSFP pattern 1/6 - fault 374/684 (N109, s-a-0) - processed 54.7% - detected 314/684 (45.9%)
PPSFP pattern 1/6 - fault 408/684 (N73, s-a-1) - processed 59.6% - detected 348/684 (50.9%)
PPSFP pattern 1/6 - fault 442/684 (N338, s-a-0) - processed 64.6% - detected 382/684 (55.8%)
PPSFP pattern 1/6 - fault 476/684 (N269, s-a-1) - processed 69.6% - detected 415/684 (60.7%)
PPSFP pattern 1/6 - fault 510/684 (N41, s-a-1) - processed 74.6% - detected 449/684 (65.6%)
PPSFP pattern 1/6 - fault 544/684 (N21, s-a-0) - processed 79.5% - detected 483/684 (70.6%)
PPSFP pattern 1/6 - fault 578/684 (N121, s-a-1) - processed 84.5% - detected 517/684 (75.6%)
PPSFP pattern 1/6 - fault 612/684 (N81, s-a-1) - processed 89.5% - detected 550/684 (80.4%)
PPSFP pattern 1/6 - fault 646/684 (N255, s-a-1) - processed 94.4% - detected 584/684 (85.4%)
PPSFP pattern 1/6 - fault 680/684 (N250, s-a-1) - processed 99.4% - detected 618/684 (90.4%)
PPSFP pattern 1/6 - fault 684/684 (N5, s-a-1) - processed 100.0% - detected 622/684 (90.9%)
PPSFP: pattern 1/6 done - detected in this pattern: 622 - cumulative detected: 622/684 (90.9%)
PPSFP: starting pattern 2/6
PPSFP pattern 2/6 - fault 3/62 (N721, s-a-0) - processed 4.8% - detected 1/62 (1.6%)
PPSFP pattern 2/6 - fault 6/62 (N717, s-a-0) - processed 9.7% - detected 1/62 (1.6%)
PPSFP pattern 2/6 - fault 9/62 (N714, s-a-0) - processed 14.5% - detected 1/62 (1.6%)
